DATE,TOTLL
2017-11-01,9070.9865
2017-11-08,9079.7448
2017-11-15,9078.9528
2017-11-22,9084.6963
2017-11-29,9100.2891
2017-12-06,9098.8911
2017-12-13,9094.7122
2017-12-20,9104.6592
2017-12-27,9117.2489
2018-01-03,9119.2917
2018-01-10,9124.0243
2018-01-17,9135.0219
2018-01-24,9135.9626
2018-01-31,9142.4883
2018-02-07,9143.0491
2018-02-14,9148.4465
2018-02-21,9161.1252
2018-02-28,9178.9111
2018-03-07,9187.0886
2018-03-14,9190.8065
2018-03-21,9166.8545
2018-03-28,9180.3407
2018-04-04,9227.2224
2018-04-11,9258.4972
2018-04-18,9264.9283
2018-04-25,9276.308
2018-05-02,9278.8279
2018-05-09,9275.6487
2018-05-16,9268.122
2018-05-23,9275.7361
2018-05-30,9289.9982
2018-06-06,9302.2695
2018-06-13,9302.5127
2018-06-20,9343.4883
2018-06-27,9344.7118
2018-07-04,9340.1332
2018-07-11,9359.0799
2018-07-18,9360.9536
2018-07-25,9372.5279
2018-08-01,9376.0371
2018-08-08,9369.914
2018-08-15,9379.5492
2018-08-22,9393.8672
2018-08-29,9401.5383
2018-09-05,9416.6207
2018-09-12,9422.8275
2018-09-19,9431.0939
2018-09-26,9436.677
2018-10-03,9462.742
2018-10-10,9464.5887
2018-10-17,9469.1837
2018-10-24,9481.7426
2018-10-31,9496.6568
2018-11-07,9487.4473
2018-11-14,9508.0657
2018-11-21,9524.5138
2018-11-28,9532.3575
2018-12-05,9548.345
2018-12-12,9561.9551
2018-12-19,9566.2828
2018-12-26,9599.2863
2019-01-02,9620.0122
2019-01-09,9626.9466
2019-01-16,9629.2843
2019-01-23,9643.7394
2019-01-30,9632.9634
2019-02-06,9641.2841
2019-02-13,9654.356
2019-02-20,9673.9059
2019-02-27,9683.3806
2019-03-06,9703.8485
2019-03-13,9708.3308
2019-03-20,9702.2712
2019-03-27,9670.6619
2019-04-03,9676.7296
2019-04-10,9685.868
2019-04-17,9708.8294
2019-04-24,9714.4337
2019-05-01,9730.6977
2019-05-08,9724.8274
2019-05-15,9747.2238
2019-05-22,9760.2945
2019-05-29,9760.6671
2019-06-05,9765.9632
2019-06-12,9782.4679
2019-06-19,9790.7258
2019-06-26,9817.9409
2019-07-03,9815.9383
2019-07-10,9814.9769
2019-07-17,9815.9432
2019-07-24,9838.0132
2019-07-31,9853.084
2019-08-07,9865.7611
2019-08-14,9873.145
2019-08-21,9896.494
2019-08-28,9886.2105
2019-09-04,9895.3674
2019-09-11,9895.9639
2019-09-18,9918.2944
2019-09-25,9936.6161
2019-10-02,9931.6428
2019-10-09,9929.4385
2019-10-16,9957.6356
2019-10-23,9960.9668
2019-10-30,9975.2911
2019-11-06,9979.4496
2019-11-13,9979.7718
2019-11-20,9988.1005
2019-11-27,10027.3558
2019-12-04,10013.513
2019-12-11,10048.2953
2019-12-18,10035.2482
2019-12-25,10033.1671
2020-01-01,10032.9802
2020-01-08,10043.9197
2020-01-15,10037.7821
2020-01-22,10048.6081
2020-01-29,10044.4101
2020-02-05,10045.7112
2020-02-12,10038.7635
2020-02-19,10068.1635
2020-02-26,10081.9532
2020-03-04,10127.4508
2020-03-11,10189.1678
2020-03-18,10386.8957
2020-03-25,10584.5872
2020-04-01,10672.407
2020-04-08,10703.398
2020-04-15,10743.1298
2020-04-22,10803.7878
2020-04-29,10829.3037
2020-05-06,10850.5167
2020-05-13,10850.5167
2020-05-20,10811.9579
2020-05-27,10791.9651
2020-06-03,10747.7059
2020-06-10,10723.7566
2020-06-17,10677.5971
2020-06-24,10642.187
2020-07-01,10615.2308
2020-07-08,10612.2053
2020-07-15,10610.2064
2020-07-22,10609.7402
2020-07-29,10582.6417
2020-08-05,10576.0427
2020-08-12,10572.2492
2020-08-19,10548.5731
2020-08-26,10548.5802
2020-09-02,10531.3831
2020-09-09,10527.5268
2020-09-16,10516.9217
2020-09-23,10505.6621
2020-09-30,10495.2427
2020-10-07,10470.6706
2020-10-14,10457.2917
2020-10-21,10458.1719
2020-10-28,10441.018
2020-11-04,10426.9996
2020-11-11,10431.4418
2020-11-18,10401.0795
2020-11-25,10386.6335
2020-12-02,10379.7219
2020-12-09,10368.0587
2020-12-16,10383.5563
2020-12-23,10378.5487
2020-12-30,10382.4873
2021-01-06,10371.838
2021-01-13,10357.2251
2021-01-20,10344.2151
2021-01-27,10347.4525
2021-02-03,10336.4738
2021-02-10,10345.8715
2021-02-17,10352.43
2021-02-24,10377.4777
2021-03-03,10395.8537
