DATE,FFINCP
2018-08-29,248.536874595
2018-09-05,254.984183617
2018-09-12,265.733421526
2018-09-19,275.808056506
2018-09-26,280.859963583
2018-10-03,292.101692668
2018-10-10,301.227890673
2018-10-17,294.775176025
2018-10-24,301.766760298
2018-10-31,298.780538089
2018-11-07,295.386652514
2018-11-14,298.250679119
2018-11-21,297.784868348
2018-11-28,293.957407674
2018-12-05,290.391415676
2018-12-12,300.861374717
2018-12-19,291.993980629
2018-12-26,285.376562296
2019-01-02,287.566159524
2019-01-09,303.730583649
2019-01-16,296.546769951
2019-01-23,297.564911631
2019-01-30,303.335175907
2019-02-06,300.032811673
2019-02-13,297.111493474
2019-02-20,301.229216019
2019-02-27,296.19619654
2019-03-06,291.830972556
2019-03-13,292.247460514
2019-03-20,284.924192579
2019-03-27,279.465774568
2019-04-03,271.375629495
2019-04-10,266.093885029
2019-04-17,272.21459579
2019-04-24,269.317134851
2019-05-01,270.380742343
2019-05-08,281.21946875
2019-05-15,287.165625
2019-05-22,290.9695
2019-05-29,288.4601875
2019-06-05,301.08090625
2019-06-12,302.12690625
2019-06-19,307.539625
2019-06-26,310.25446875
2019-07-03,318.30134375
2019-07-10,308.585625
2019-07-17,316.16071875
2019-07-24,310.32775
2019-07-31,314.30290625
2019-08-07,318.7766875
2019-08-14,321.808425837
2019-08-21,323.932994345
2019-08-28,323.156650959
2019-09-04,326.5835944
2019-09-11,319.913516118
2019-09-18,308.632693339
2019-09-25,312.299260262
2019-10-02,304.053388211
2019-10-09,292.963205165
2019-10-16,284.594478995
2019-10-23,283.846002768
2019-10-30,293.563351015
2019-11-06,304.458270157
2019-11-13,313.770292719
2019-11-20,316.70281609
2019-11-27,325.333232544
2019-12-04,321.052864539
2019-12-11,332.166557293
2019-12-18,329.986081397
2019-12-25,329.983368564
2020-01-01,340.672311071
2020-01-08,348.866819298
2020-01-15,356.524985185
2020-01-22,354.428021144
2020-01-29,344.694950423
2020-02-05,345.439730613
2020-02-12,335.757158428
2020-02-19,331.952351729
2020-02-26,333.226594446
2020-03-04,334.254085979
2020-03-11,341.928973905
2020-03-18,340.979832305
2020-03-25,301.959320637
2020-04-01,307.204647142
2020-04-08,310.345886436
2020-04-15,302.288866201
2020-04-22,303.105056421
2020-04-29,319.270070651
2020-05-06,317.35512402
2020-05-13,316.566244602
2020-05-20,319.877633135
2020-05-27,322.053539361
2020-06-03,315.903597593
2020-06-10,306.907035658
2020-06-17,301.845462701
2020-06-24,319.5328125
2020-07-01,334.782
2020-07-08,328.41684375
2020-07-15,342.52053125
2020-07-22,349.88775
2020-07-29,367.1890625
2020-08-05,363.7806875
2020-08-12,354.2225
2020-08-19,355.72621875
2020-08-26,357.50109375
2020-09-02,355.863625
2020-09-09,357.76975
2020-09-16,328.80921875
2020-09-23,338.384875
2020-09-30,323.15340625
2020-10-07,321.26628125
2020-10-14,320.70225
2020-10-21,322.84396875
2020-10-28,329.82746875
2020-11-04,316.89275
2020-11-11,320.39721875
2020-11-18,323.061
2020-11-25,327.390375
2020-12-02,330.576
2020-12-09,345.91925
2020-12-16,345.45959375
2020-12-23,373.3976875
2020-12-30,368.64115625
2021-01-06,395.99478125
2021-01-13,395.17415625
2021-01-20,396.453375
2021-01-27,407.089625
2021-02-03,404.16559375
2021-02-10,410.5394375
2021-02-17,403.7959375
2021-02-24,411.844125
2021-03-03,428.22753125
2021-03-10,429.6205
