DATE,CCLDCBW027SBOG
2018-04-25,785.0563
2018-05-02,784.3831
2018-05-09,785.2148
2018-05-16,785.9118
2018-05-23,786.6532
2018-05-30,790.414
2018-06-06,790.7774
2018-06-13,792.4275
2018-06-20,792.469
2018-06-27,793.8668
2018-07-04,793.8371
2018-07-11,791.9813
2018-07-18,793.0934
2018-07-25,793.8407
2018-08-01,793.5446
2018-08-08,796.0774
2018-08-15,795.9919
2018-08-22,797.4335
2018-08-29,798.8839
2018-09-05,800.0507
2018-09-12,799.0705
2018-09-19,800.1189
2018-09-26,799.9773
2018-10-03,801.4968
2018-10-10,802.4529
2018-10-17,802.1623
2018-10-24,803.6588
2018-10-31,806.9236
2018-11-07,805.5988
2018-11-14,808.1117
2018-11-21,809.7788
2018-11-28,813.1462
2018-12-05,809.1872
2018-12-12,808.6829
2018-12-19,805.8846
2018-12-26,806.4986
2019-01-02,805.2992
2019-01-09,807.1897
2019-01-16,805.9152
2019-01-23,807.976
2019-01-30,810.4587
2019-02-06,810.1666
2019-02-13,810.0283
2019-02-20,811.3774
2019-02-27,813.6209
2019-03-06,813.2153
2019-03-13,813.8132
2019-03-20,814.2521
2019-03-27,814.9282
2019-04-03,814.225
2019-04-10,814.1126
2019-04-17,816.5161
2019-04-24,817.1417
2019-05-01,816.8787
2019-05-08,817.7006
2019-05-15,817.0832
2019-05-22,817.9014
2019-05-29,821.3209
2019-06-05,822.3166
2019-06-12,824.2993
2019-06-19,823.6425
2019-06-26,824.2645
2019-07-03,823.2897
2019-07-10,824.9007
2019-07-17,824.4819
2019-07-24,826.5316
2019-07-31,829.7801
2019-08-07,830.4137
2019-08-14,831.2934
2019-08-21,832.2007
2019-08-28,832.0722
2019-09-04,834.4098
2019-09-11,831.9306
2019-09-18,832.9269
2019-09-25,832.9455
2019-10-02,832.8258
2019-10-09,833.1508
2019-10-16,841.9395
2019-10-23,842.234
2019-10-30,845.4725
2019-11-06,844.3441
2019-11-13,845.7106
2019-11-20,844.3171
2019-11-27,841.0644
2019-12-04,843.7422
2019-12-11,844.7267
2019-12-18,842.8966
2019-12-25,845.9658
2020-01-01,844.7343
2020-01-08,845.8964
2020-01-15,844.3342
2020-01-22,846.6752
2020-01-29,846.4368
2020-02-05,845.7602
2020-02-12,846.0294
2020-02-19,847.7067
2020-02-26,849.4948
2020-03-04,856.5614
2020-03-11,856.7652
2020-03-18,854.8476
2020-03-25,843.6191
2020-04-01,831.5077
2020-04-08,815.6433
2020-04-15,799.9091
2020-04-22,785.3077
2020-04-29,780.5321
2020-05-06,773.4743
2020-05-13,770.1709
2020-05-20,766.4099
2020-05-27,763.6
2020-06-03,762.0747
2020-06-10,763.5016
2020-06-17,761.4786
2020-06-24,762.8673
2020-07-01,760.4503
2020-07-08,762.0675
2020-07-15,761.0388
2020-07-22,760.8995
2020-07-29,759.4649
2020-08-05,758.6361
2020-08-12,756.97
2020-08-19,756.2886
2020-08-26,755.5059
2020-09-02,754.0508
2020-09-09,754.7489
2020-09-16,754.0746
2020-09-23,754.0301
2020-09-30,756.6625
2020-10-07,753.7462
2020-10-14,755.4134
2020-10-21,755.6444
2020-10-28,755.0794
2020-11-04,754.994
2020-11-11,756.0037
2020-11-18,753.8092
2020-11-25,755.4485
2020-12-02,753.2089
2020-12-09,753.85
2020-12-16,753.4338
2020-12-23,752.26
2020-12-30,746.853
2021-01-06,746.0047
2021-01-13,744.2136
2021-01-20,744.0091
2021-01-27,741.3491
2021-02-03,740.3642
2021-02-10,741.4144
2021-02-17,741.7523
2021-02-24,743.2092
2021-03-03,745.3722
