DATE,DPSACBW027SBOG
2018-08-15,12245.522
2018-08-22,12244.5412
2018-08-29,12232.164
2018-09-05,12233.7068
2018-09-12,12234.0806
2018-09-19,12260.8351
2018-09-26,12301.7265
2018-10-03,12300.6732
2018-10-10,12306.954
2018-10-17,12284.8324
2018-10-24,12314.0212
2018-10-31,12312.142
2018-11-07,12273.4346
2018-11-14,12301.0695
2018-11-21,12304.0493
2018-11-28,12337.5173
2018-12-05,12404.9002
2018-12-12,12363.6704
2018-12-19,12408.4888
2018-12-26,12476.5187
2019-01-02,12465.9794
2019-01-09,12465.6996
2019-01-16,12437.4794
2019-01-23,12502.5536
2019-01-30,12451.9177
2019-02-06,12495.8788
2019-02-13,12481.2707
2019-02-20,12512.012
2019-02-27,12536.3849
2019-03-06,12567.9089
2019-03-13,12577.9896
2019-03-20,12588.6494
2019-03-27,12592.0418
2019-04-03,12621.4525
2019-04-10,12658.5693
2019-04-17,12616.4734
2019-04-24,12646.8284
2019-05-01,12695.9335
2019-05-08,12666.5736
2019-05-15,12734.3447
2019-05-22,12698.1131
2019-05-29,12712.8366
2019-06-05,12754.3346
2019-06-12,12771.8284
2019-06-19,12793.119
2019-06-26,12835.0339
2019-07-03,12809.4226
2019-07-10,12773.5528
2019-07-17,12807.5144
2019-07-24,12848.9783
2019-07-31,12857.8198
2019-08-07,12867.8814
2019-08-14,12855.6786
2019-08-21,12860.7578
2019-08-28,12897.3529
2019-09-04,12929.6492
2019-09-11,12898.1408
2019-09-18,12940.7991
2019-09-25,12999.2067
2019-10-02,13052.2996
2019-10-09,13037.3929
2019-10-16,13071.0693
2019-10-23,13078.3492
2019-10-30,13060.0781
2019-11-06,13122.2636
2019-11-13,13182.7425
2019-11-20,13193.7781
2019-11-27,13248.7296
2019-12-04,13221.8338
2019-12-11,13256.6278
2019-12-18,13259.9397
2019-12-25,13245.8304
2020-01-01,13226.2769
2020-01-08,13287.6714
2020-01-15,13323.0742
2020-01-22,13321.0322
2020-01-29,13308.4539
2020-02-05,13334.3716
2020-02-12,13341.7853
2020-02-19,13405.013
2020-02-26,13398.7369
2020-03-04,13491.6516
2020-03-11,13560.5755
2020-03-18,13818.8617
2020-03-25,14110.4134
2020-04-01,14269.2375
2020-04-08,14323.8808
2020-04-15,14646.6954
2020-04-22,14895.4845
2020-04-29,15040.7657
2020-05-06,15189.2585
2020-05-13,15287.572
2020-05-20,15361.1547
2020-05-27,15413.0599
2020-06-03,15409.7176
2020-06-10,15480.4208
2020-06-17,15544.5176
2020-06-24,15600.0735
2020-07-01,15555.8216
2020-07-08,15602.0695
2020-07-15,15616.9981
2020-07-22,15541.1998
2020-07-29,15482.8098
2020-08-05,15537.5063
2020-08-12,15558.991
2020-08-19,15588.836
2020-08-26,15612.1508
2020-09-02,15630.0375
2020-09-09,15667.7238
2020-09-16,15752.4839
2020-09-23,15718.6002
2020-09-30,15682.4753
2020-10-07,15664.5629
2020-10-14,15762.6552
2020-10-21,15777.4339
2020-10-28,15829.993
2020-11-04,15875.7124
2020-11-11,15903.4928
2020-11-18,15939.9509
2020-11-25,16033.0471
2020-12-02,16020.0678
2020-12-09,16037.9205
2020-12-16,16107.5105
2020-12-23,16084.5699
2020-12-30,16127.0095
2021-01-06,16175.3591
2021-01-13,16211.3122
2021-01-20,16215.6312
2021-01-27,16311.3225
2021-02-03,16296.46
2021-02-10,16337.4852
2021-02-17,16451.0678
2021-02-24,16457.6967
2021-03-03,16510.9499
