DATE,TLAACBW027SBOG
2017-08-16,16484.6204
2017-08-23,16472.0255
2017-08-30,16504.6342
2017-09-06,16507.3031
2017-09-13,16534.1991
2017-09-20,16529.8056
2017-09-27,16531.0183
2017-10-04,16581.9666
2017-10-11,16549.6858
2017-10-18,16620.0491
2017-10-25,16609.0488
2017-11-01,16641.7356
2017-11-08,16644.6466
2017-11-15,16669.5898
2017-11-22,16670.1373
2017-11-29,16691.3756
2017-12-06,16738.7604
2017-12-13,16746.0023
2017-12-20,16739.0102
2017-12-27,16773.22
2018-01-03,16773.6967
2018-01-10,16702.1145
2018-01-17,16734.9233
2018-01-24,16727.9335
2018-01-31,16690.5549
2018-02-07,16658.0281
2018-02-14,16717.3782
2018-02-21,16683.2754
2018-02-28,16712.4966
2018-03-07,16693.9603
2018-03-14,16702.1809
2018-03-21,16615.7389
2018-03-28,16577.353
2018-04-04,16606.7958
2018-04-11,16636.1438
2018-04-18,16664.2374
2018-04-25,16671.1702
2018-05-02,16696.1055
2018-05-09,16722.2914
2018-05-16,16692.0883
2018-05-23,16744.6932
2018-05-30,16763.7417
2018-06-06,16740.9001
2018-06-13,16757.3502
2018-06-20,16766.5769
2018-06-27,16797.5073
2018-07-04,16806.964
2018-07-11,16779.7044
2018-07-18,16795.764
2018-07-25,16798.8251
2018-08-01,16762.0135
2018-08-08,16730.9575
2018-08-15,16763.4149
2018-08-22,16769.9409
2018-08-29,16735.5353
2018-09-05,16747.5595
2018-09-12,16750.3803
2018-09-19,16753.1696
2018-09-26,16800.3238
2018-10-03,16867.342
2018-10-10,16836.3237
2018-10-17,16821.6347
2018-10-24,16868.7837
2018-10-31,16846.7119
2018-11-07,16803.5504
2018-11-14,16860.0798
2018-11-21,16837.712
2018-11-28,16872.7123
2018-12-05,16913.544
2018-12-12,16932.8797
2018-12-19,16942.9517
2018-12-26,17064.1747
2019-01-02,17083.0908
2019-01-09,17013.6968
2019-01-16,16971.3665
2019-01-23,16982.585
2019-01-30,16956.5864
2019-02-06,16971.4808
2019-02-13,17007.6572
2019-02-20,17001.9124
2019-02-27,17066.86
2019-03-06,17090.0031
2019-03-13,17127.2582
2019-03-20,17113.2781
2019-03-27,17097.767
2019-04-03,17170.4506
2019-04-10,17183.6997
2019-04-17,17132.1983
2019-04-24,17157.0691
2019-05-01,17151.6031
2019-05-08,17177.7094
2019-05-15,17246.2588
2019-05-22,17175.0805
2019-05-29,17204.9847
2019-06-05,17285.5114
2019-06-12,17334.876
2019-06-19,17335.4139
2019-06-26,17373.153
2019-07-03,17381.3094
2019-07-10,17362.9602
2019-07-17,17377.4891
2019-07-24,17403.2349
2019-07-31,17400.9907
2019-08-07,17534.6901
2019-08-14,17496.554
2019-08-21,17481.1469
2019-08-28,17503.026
2019-09-04,17512.2726
2019-09-11,17488.4885
2019-09-18,17468.9182
2019-09-25,17542.8852
2019-10-02,17624.7074
2019-10-09,17601.8475
2019-10-16,17613.5033
2019-10-23,17599.7294
2019-10-30,17581.6026
2019-11-06,17637.3253
2019-11-13,17669.9442
2019-11-20,17639.9292
2019-11-27,17710.7049
2019-12-04,17716.0633
2019-12-11,17795.5568
2019-12-18,17806.761
2019-12-25,17792.7543
2020-01-01,17747.4198
2020-01-08,17812.6498
2020-01-15,17830.8566
2020-01-22,17789.9438
2020-01-29,17833.0039
2020-02-05,17833.8054
2020-02-12,17815.5367
2020-02-19,17945.4653
2020-02-26,17975.5541
2020-03-04,18230.8765
2020-03-11,18403.5058
2020-03-18,18803.7883
2020-03-25,19351.1091
2020-04-01,19631.2422
2020-04-08,19705.9446
2020-04-15,20043.5456
2020-04-22,20218.7637
2020-04-29,20373.634
2020-05-06,20318.9524
2020-05-13,20309.5254
2020-05-20,20310.7199
2020-05-27,20289.6596
2020-06-03,20231.0405
2020-06-10,20221.361
2020-06-17,20227.3278
2020-06-24,20195.5511
2020-07-01,20171.9527
2020-07-08,20155.8946
2020-07-15,20138.5907
2020-07-22,20053.5955
2020-07-29,20060.3165
2020-08-05,20073.5684
2020-08-12,20073.358
2020-08-19,20101.9611
2020-08-26,20113.8712
2020-09-02,20119.4804
2020-09-09,20157.4101
2020-09-16,20247.3118
2020-09-23,20231.5835
2020-09-30,20133.5386
2020-10-07,20173.2519
2020-10-14,20223.9683
2020-10-21,20250.8765
2020-10-28,20273.9315
2020-11-04,20297.1396
2020-11-11,20280.4754
2020-11-18,20352.6137
2020-11-25,20466.6234
2020-12-02,20414.0656
2020-12-09,20416.3617
2020-12-16,20549.6787
2020-12-23,20612.6844
2020-12-30,20706.1468
2021-01-06,20657.8083
2021-01-13,20598.1081
2021-01-20,20613.3989
2021-01-27,20634.4693
2021-02-03,20584.9808
2021-02-10,20665.008
2021-02-17,20756.3137
2021-02-24,20802.9017
2021-03-03,20861.3256
