DATE,WEI
2016-12-31,2.2
2017-01-07,1.78
2017-01-14,1.88
2017-01-21,1.36
2017-01-28,2.22
2017-02-04,2.49
2017-02-11,1.69
2017-02-18,2.07
2017-02-25,2.25
2017-03-04,2.2
2017-03-11,2.57
2017-03-18,2.32
2017-03-25,2.52
2017-04-01,2.58
2017-04-08,2.37
2017-04-15,2.28
2017-04-22,2.08
2017-04-29,2.54
2017-05-06,2.51
2017-05-13,2.38
2017-05-20,2.6
2017-05-27,2.04
2017-06-03,2.16
2017-06-10,2.14
2017-06-17,2.52
2017-06-24,2.13
2017-07-01,2.31
2017-07-08,2.39
2017-07-15,2.24
2017-07-22,2.17
2017-07-29,2.34
2017-08-05,2.35
2017-08-12,2.15
2017-08-19,2.42
2017-08-26,2.49
2017-09-02,1.87
2017-09-09,2.09
2017-09-16,2.14
2017-09-23,2.45
2017-09-30,2.33
2017-10-07,2.39
2017-10-14,2.57
2017-10-21,2.47
2017-10-28,2.35
2017-11-04,2.34
2017-11-11,2.24
2017-11-18,2.47
2017-11-25,2.33
2017-12-02,2.37
2017-12-09,2.28
2017-12-16,2.38
2017-12-23,2.78
2017-12-30,2.53
2018-01-06,2.27
2018-01-13,2.55
2018-01-20,2.71
2018-01-27,2.46
2018-02-03,2.09
2018-02-10,2.42
2018-02-17,2.37
2018-02-24,2.33
2018-03-03,2.35
2018-03-10,2.14
2018-03-17,2.37
2018-03-24,2.34
2018-03-31,2.23
2018-04-07,2.1
2018-04-14,2.39
2018-04-21,2.42
2018-04-28,2.14
2018-05-05,2.51
2018-05-12,2.4
2018-05-19,1.97
2018-05-26,2.63
2018-06-02,2.43
2018-06-09,2.53
2018-06-16,2.12
2018-06-23,2.16
2018-06-30,2.53
2018-07-07,2.44
2018-07-14,2.33
2018-07-21,2.35
2018-07-28,2.25
2018-08-04,2.44
2018-08-11,2.51
2018-08-18,2.5
2018-08-25,2.69
2018-09-01,3.61
2018-09-08,3.02
2018-09-15,2.85
2018-09-22,2.87
2018-09-29,2.78
2018-10-06,2.96
2018-10-13,2.67
2018-10-20,2.44
2018-10-27,2.79
2018-11-03,2.58
2018-11-10,2.6
2018-11-17,2.54
2018-11-24,2.79
2018-12-01,2.57
2018-12-08,2.63
2018-12-15,2.75
2018-12-22,2.6
2018-12-29,2.33
2019-01-05,2.24
2019-01-12,2.11
2019-01-19,2.42
2019-01-26,2.24
2019-02-02,1.99
2019-02-09,1.62
2019-02-16,1.8
2019-02-23,2.12
2019-03-02,1.91
2019-03-09,1.86
2019-03-16,1.95
2019-03-23,1.78
2019-03-30,2.05
2019-04-06,2.24
2019-04-13,2.0
2019-04-20,2.19
2019-04-27,1.89
2019-05-04,1.92
2019-05-11,1.89
2019-05-18,1.83
2019-05-25,1.77
2019-06-01,1.89
2019-06-08,1.76
2019-06-15,1.83
2019-06-22,1.9
2019-06-29,1.78
2019-07-06,2.13
