DATE,WM1NS
2018-02-26,3676.2
2018-03-05,3653.1
2018-03-12,3555.4
2018-03-19,3638.7
2018-03-26,3776.1
2018-04-02,3883.5
2018-04-09,3583.9
2018-04-16,3606.6
2018-04-23,3738.4
2018-04-30,3832.3
2018-05-07,3548.9
2018-05-14,3536.8
2018-05-21,3655.6
2018-05-28,3789.4
2018-06-04,3743.8
2018-06-11,3520.1
2018-06-18,3602.0
2018-06-25,3717.1
2018-07-02,3828.8
2018-07-09,3576.5
2018-07-16,3572.5
2018-07-23,3674.7
2018-07-30,3845.7
2018-08-06,3634.8
2018-08-13,3563.8
2018-08-20,3656.8
2018-08-27,3805.0
2018-09-03,3911.5
2018-09-10,3559.6
2018-09-17,3560.6
2018-09-24,3683.3
2018-10-01,3808.8
2018-10-08,3592.1
2018-10-15,3609.0
2018-10-22,3737.5
2018-10-29,3891.0
2018-11-05,3709.7
2018-11-12,3547.7
2018-11-19,3635.1
2018-11-26,3765.2
2018-12-03,3888.6
2018-12-10,3644.9
2018-12-17,3662.4
2018-12-24,3878.7
2018-12-31,3998.0
2019-01-07,3705.0
2019-01-14,3620.6
2019-01-21,3725.9
2019-01-28,3864.2
2019-02-04,3817.6
2019-02-11,3605.0
2019-02-18,3659.5
2019-02-25,3760.5
2019-03-04,3793.1
2019-03-11,3619.4
2019-03-18,3678.3
2019-03-25,3813.5
2019-04-01,3945.6
2019-04-08,3690.0
2019-04-15,3733.7
2019-04-22,3861.7
2019-04-29,3985.2
2019-05-06,3715.8
2019-05-13,3641.1
2019-05-20,3766.2
2019-05-27,3917.6
2019-06-03,4000.3
2019-06-10,3695.5
2019-06-17,3750.0
2019-06-24,3851.5
2019-07-01,3976.9
2019-07-08,3757.0
2019-07-15,3731.4
2019-07-22,3861.4
2019-07-29,4033.6
2019-08-05,3891.8
2019-08-12,3726.5
2019-08-19,3793.1
2019-08-26,3919.0
2019-09-02,4053.5
2019-09-09,3769.2
2019-09-16,3752.6
2019-09-23,3872.9
2019-09-30,4062.9
2019-10-07,3805.6
2019-10-14,3797.2
2019-10-21,3908.9
2019-10-28,4077.6
2019-11-04,4020.9
2019-11-11,3792.7
2019-11-18,3845.4
2019-11-25,4002.2
2019-12-02,4099.5
2019-12-09,3869.6
2019-12-16,3925.4
2019-12-23,4112.8
2019-12-30,4246.0
2020-01-06,3990.4
2020-01-13,3845.9
2020-01-20,3942.2
2020-01-27,4058.9
2020-02-03,4154.9
2020-02-10,3837.5
2020-02-17,3855.8
2020-02-24,3946.8
2020-03-02,4080.6
2020-03-09,3942.4
2020-03-16,4058.1
2020-03-23,4376.7
2020-03-30,4774.6
2020-04-06,4609.3
2020-04-13,4623.1
2020-04-20,4881.5
2020-04-27,5111.2
2020-05-04,15956.2
2020-05-11,16089.4
2020-05-18,16226.2
2020-05-25,16198.6
2020-06-01,16346.1
2020-06-08,16469.1
2020-06-15,16570.7
2020-06-22,16569.6
2020-06-29,16633.3
2020-07-06,16827.4
2020-07-13,16841.2
2020-07-20,16763.6
2020-07-27,16642.7
2020-08-03,16770.1
2020-08-10,16845.0
2020-08-17,16929.2
2020-08-24,16836.5
2020-08-31,16967.4
2020-09-07,17115.4
2020-09-14,17204.1
2020-09-21,17167.7
2020-09-28,17124.1
2020-10-05,17276.3
2020-10-12,17294.7
2020-10-19,17358.3
2020-10-26,17305.0
2020-11-02,17505.6
2020-11-09,17585.1
2020-11-16,17677.4
2020-11-23,17663.3
2020-11-30,17757.9
2020-12-07,17874.8
2020-12-14,17936.3
2020-12-21,17996.6
2020-12-28,18016.6
2021-01-04,18089.7
2021-01-11,18149.4
2021-01-18,18130.6
2021-01-25,18019.9
2021-02-01,18139.4
